Date,Open,High,Low,Close,Adj Close,Volume
2020-06-02,905.000000,910.000000,885.000000,900.000000,883.291077,23000
2020-06-03,900.000000,915.000000,875.000000,890.000000,873.476746,69400
2020-06-04,890.000000,915.000000,880.000000,890.000000,873.476746,456000
2020-06-05,890.000000,890.000000,875.000000,880.000000,863.662415,94600
2020-06-08,880.000000,890.000000,860.000000,865.000000,848.940857,464000
2020-06-09,870.000000,870.000000,825.000000,835.000000,819.497864,187000
2020-06-10,835.000000,855.000000,835.000000,840.000000,824.404968,68900
2020-06-11,845.000000,850.000000,830.000000,830.000000,814.590637,33000
2020-06-12,830.000000,840.000000,810.000000,835.000000,819.497864,351600
2020-06-15,835.000000,835.000000,790.000000,800.000000,785.147583,744600
2020-06-16,805.000000,810.000000,780.000000,785.000000,770.426086,1770100
2020-06-17,790.000000,810.000000,785.000000,790.000000,775.333313,720900
2020-06-18,790.000000,805.000000,785.000000,790.000000,775.333313,552600
2020-06-19,780.000000,795.000000,770.000000,790.000000,775.333313,454000
2020-06-22,790.000000,800.000000,785.000000,790.000000,775.333313,87800
2020-06-23,800.000000,800.000000,780.000000,785.000000,770.426086,186000
2020-06-24,785.000000,800.000000,785.000000,795.000000,780.240479,143600
2020-06-25,795.000000,800.000000,780.000000,795.000000,780.240479,336300
2020-06-26,790.000000,800.000000,780.000000,785.000000,770.426086,121800
2020-06-29,785.000000,795.000000,775.000000,790.000000,775.333313,144100
2020-06-30,795.000000,840.000000,790.000000,795.000000,780.240479,893500
2020-07-01,795.000000,815.000000,785.000000,795.000000,780.240479,500300
2020-07-02,795.000000,805.000000,790.000000,795.000000,780.240479,72600
2020-07-03,795.000000,800.000000,785.000000,790.000000,775.333313,107000
2020-07-06,795.000000,805.000000,790.000000,795.000000,780.240479,177300
2020-07-07,795.000000,805.000000,785.000000,790.000000,775.333313,1326300
2020-07-08,790.000000,800.000000,785.000000,790.000000,775.333313,251100
2020-07-09,790.000000,790.000000,785.000000,785.000000,770.426086,1363600
2020-07-10,785.000000,785.000000,780.000000,780.000000,765.518921,437200
2020-07-13,780.000000,785.000000,775.000000,775.000000,760.611816,156100
2020-07-14,780.000000,785.000000,770.000000,775.000000,760.611816,228600
2020-07-15,775.000000,780.000000,755.000000,760.000000,745.890198,1006700
2020-07-16,760.000000,760.000000,740.000000,750.000000,736.075928,1113300
2020-07-17,750.000000,760.000000,740.000000,745.000000,731.168701,1359700
2020-07-20,745.000000,755.000000,740.000000,755.000000,740.983032,446400
2020-07-21,755.000000,760.000000,740.000000,750.000000,736.075928,407400
2020-07-22,755.000000,760.000000,745.000000,750.000000,736.075928,125600
2020-07-23,750.000000,750.000000,745.000000,750.000000,736.075928,346900
2020-07-24,750.000000,755.000000,745.000000,745.000000,731.168701,540500
2020-07-27,750.000000,750.000000,740.000000,750.000000,736.075928,108100
2020-07-28,750.000000,750.000000,740.000000,750.000000,736.075928,122000
2020-07-29,750.000000,750.000000,740.000000,745.000000,731.168701,98500
2020-07-30,745.000000,750.000000,740.000000,740.000000,726.261536,247400
2020-08-03,740.000000,745.000000,700.000000,720.000000,706.632874,655300
2020-08-04,720.000000,750.000000,715.000000,745.000000,731.168701,483400
2020-08-05,745.000000,760.000000,745.000000,755.000000,740.983032,827500
2020-08-06,755.000000,755.000000,720.000000,730.000000,716.447205,1092700
2020-08-07,740.000000,750.000000,735.000000,735.000000,721.354370,958300
2020-08-10,755.000000,755.000000,720.000000,725.000000,711.540039,411900
2020-08-11,730.000000,735.000000,725.000000,730.000000,716.447205,678100
2020-08-12,735.000000,740.000000,725.000000,725.000000,711.540039,336700
2020-08-13,725.000000,735.000000,725.000000,725.000000,711.540039,435100
2020-08-14,725.000000,725.000000,715.000000,725.000000,711.540039,330500
2020-08-18,720.000000,725.000000,720.000000,725.000000,711.540039,447100
2020-08-19,725.000000,725.000000,720.000000,720.000000,706.632874,852400
2020-08-24,720.000000,730.000000,720.000000,725.000000,711.540039,318800
2020-08-25,725.000000,755.000000,720.000000,755.000000,740.983032,1406600
2020-08-26,755.000000,755.000000,725.000000,725.000000,711.540039,623300
2020-08-27,730.000000,730.000000,720.000000,720.000000,706.632874,955000
2020-08-28,725.000000,730.000000,720.000000,720.000000,706.632874,227000
2020-08-31,720.000000,725.000000,710.000000,715.000000,701.725647,1379100
2020-09-01,725.000000,725.000000,705.000000,705.000000,691.911377,211200
2020-09-02,710.000000,715.000000,700.000000,700.000000,687.004150,3876500
2020-09-03,700.000000,710.000000,700.000000,700.000000,687.004150,238100
2020-09-04,700.000000,710.000000,700.000000,705.000000,691.911377,442800
2020-09-07,700.000000,710.000000,700.000000,710.000000,696.818542,324800
2020-09-08,710.000000,710.000000,700.000000,700.000000,687.004150,828800
2020-09-09,700.000000,705.000000,700.000000,700.000000,687.004150,533900
2020-09-10,700.000000,705.000000,685.000000,690.000000,677.189880,1736700
2020-09-11,685.000000,700.000000,660.000000,695.000000,682.096985,306900
2020-09-14,700.000000,710.000000,695.000000,705.000000,691.911377,207200
2020-09-15,705.000000,710.000000,690.000000,700.000000,687.004150,193400
2020-09-16,700.000000,700.000000,690.000000,690.000000,677.189880,506200
2020-09-17,690.000000,700.000000,680.000000,680.000000,667.375488,616300
2020-09-18,680.000000,695.000000,675.000000,680.000000,667.375488,804000
2020-09-21,695.000000,695.000000,675.000000,675.000000,662.468262,1697600
2020-09-22,675.000000,680.000000,655.000000,670.000000,657.561096,158400
2020-09-23,670.000000,675.000000,655.000000,670.000000,657.561096,432100
2020-09-24,670.000000,675.000000,660.000000,660.000000,647.746765,171400
2020-09-25,660.000000,675.000000,655.000000,675.000000,662.468262,53000
2020-09-28,680.000000,685.000000,670.000000,675.000000,662.468262,51000
2020-09-29,675.000000,680.000000,665.000000,665.000000,652.653992,222400
2020-09-30,675.000000,675.000000,665.000000,665.000000,652.653992,88500
2020-10-01,670.000000,685.000000,660.000000,670.000000,657.561096,594600
2020-10-02,670.000000,675.000000,670.000000,675.000000,662.468262,27500
2020-10-05,675.000000,675.000000,665.000000,670.000000,657.561096,17600
2020-10-06,675.000000,685.000000,670.000000,685.000000,672.282654,106700
2020-10-07,685.000000,700.000000,680.000000,685.000000,672.282654,126800
2020-10-08,685.000000,690.000000,680.000000,685.000000,672.282654,40700
2020-10-09,685.000000,685.000000,675.000000,675.000000,662.468262,59600
2020-10-12,675.000000,680.000000,675.000000,675.000000,662.468262,147100
2020-10-13,675.000000,680.000000,670.000000,675.000000,662.468262,267700
2020-10-14,680.000000,685.000000,670.000000,670.000000,657.561096,447300
2020-10-15,670.000000,680.000000,670.000000,670.000000,657.561096,977000
2020-10-16,670.000000,675.000000,655.000000,665.000000,652.653992,390700
2020-10-19,665.000000,670.000000,660.000000,670.000000,657.561096,231900
2020-10-20,670.000000,690.000000,660.000000,675.000000,662.468262,119800
2020-10-21,675.000000,680.000000,665.000000,675.000000,662.468262,88100
2020-10-22,675.000000,685.000000,670.000000,675.000000,662.468262,417800
2020-10-23,680.000000,680.000000,670.000000,675.000000,662.468262,53500
2020-10-26,675.000000,685.000000,670.000000,675.000000,662.468262,175000
2020-10-27,675.000000,695.000000,670.000000,680.000000,667.375488,130200
2020-11-02,680.000000,700.000000,680.000000,690.000000,677.189880,140600
2020-11-03,685.000000,700.000000,685.000000,690.000000,677.189880,460100
2020-11-04,690.000000,710.000000,690.000000,700.000000,687.004150,377000
2020-11-05,705.000000,725.000000,705.000000,720.000000,706.632874,680500
2020-11-06,725.000000,725.000000,710.000000,715.000000,701.725647,667800
2020-11-09,715.000000,720.000000,700.000000,720.000000,706.632874,444400
2020-11-10,720.000000,740.000000,705.000000,740.000000,726.261536,812500
2020-11-11,740.000000,750.000000,720.000000,730.000000,716.447205,690200
2020-11-12,730.000000,740.000000,710.000000,710.000000,696.818542,317300
2020-11-13,710.000000,725.000000,700.000000,725.000000,711.540039,251400
2020-11-16,725.000000,735.000000,720.000000,730.000000,716.447205,260900
2020-11-17,730.000000,730.000000,720.000000,720.000000,706.632874,393200
2020-11-18,720.000000,725.000000,715.000000,720.000000,706.632874,613100
2020-11-19,725.000000,725.000000,710.000000,715.000000,701.725647,1489600
2020-11-20,715.000000,720.000000,705.000000,705.000000,691.911377,949600
2020-11-23,705.000000,710.000000,695.000000,710.000000,696.818542,1188100
2020-11-24,715.000000,720.000000,710.000000,710.000000,696.818542,1204200
2020-11-25,715.000000,730.000000,710.000000,710.000000,696.818542,1690100
2020-11-26,715.000000,715.000000,705.000000,710.000000,696.818542,542400
2020-11-27,710.000000,715.000000,705.000000,715.000000,701.725647,895400
2020-11-30,715.000000,715.000000,700.000000,710.000000,696.818542,2445200
2020-12-01,710.000000,715.000000,700.000000,710.000000,696.818542,854200
2020-12-02,715.000000,715.000000,705.000000,715.000000,701.725647,230500
2020-12-03,715.000000,715.000000,705.000000,710.000000,696.818542,526000
2020-12-04,705.000000,715.000000,700.000000,715.000000,701.725647,1672800
2020-12-07,720.000000,765.000000,710.000000,750.000000,736.075928,9581800
2020-12-08,760.000000,770.000000,740.000000,740.000000,726.261536,2564600
2020-12-10,745.000000,755.000000,720.000000,730.000000,716.447205,3039900
2020-12-11,730.000000,735.000000,720.000000,730.000000,716.447205,2146400
2020-12-14,730.000000,735.000000,720.000000,730.000000,722.414551,1085000
2020-12-15,730.000000,745.000000,730.000000,735.000000,727.362549,1799600
2020-12-16,740.000000,750.000000,730.000000,735.000000,727.362549,1730100
2020-12-17,735.000000,750.000000,725.000000,725.000000,717.466492,3908200
2020-12-18,730.000000,745.000000,725.000000,730.000000,722.414551,4882400
2020-12-21,735.000000,750.000000,730.000000,745.000000,737.258667,2141500
2020-12-22,750.000000,755.000000,720.000000,730.000000,722.414551,4229100
2020-12-23,730.000000,765.000000,715.000000,765.000000,757.050842,7808200
2020-12-28,770.000000,885.000000,765.000000,860.000000,851.063721,25771900
2020-12-29,870.000000,875.000000,815.000000,840.000000,831.271484,5176600
2020-12-30,840.000000,850.000000,790.000000,800.000000,791.687134,3188100
2021-01-04,810.000000,840.000000,765.000000,800.000000,791.687134,1572500
2021-01-05,800.000000,820.000000,780.000000,785.000000,776.843018,2710000
2021-01-06,800.000000,800.000000,740.000000,780.000000,771.894958,1461800
2021-01-07,780.000000,780.000000,750.000000,765.000000,757.050842,1521900
2021-01-08,765.000000,785.000000,765.000000,775.000000,766.946960,1427400
2021-01-11,775.000000,795.000000,770.000000,780.000000,771.894958,409400
2021-01-12,785.000000,795.000000,760.000000,765.000000,757.050842,901700
2021-01-13,765.000000,800.000000,760.000000,795.000000,786.739136,2972600
2021-01-14,800.000000,835.000000,790.000000,835.000000,826.323486,1785700
2021-01-15,835.000000,840.000000,800.000000,810.000000,801.583252,543700
2021-01-18,810.000000,815.000000,790.000000,795.000000,786.739136,772700
2021-01-19,800.000000,805.000000,790.000000,790.000000,781.791077,380800
2021-01-20,795.000000,800.000000,790.000000,790.000000,781.791077,107300
2021-01-21,800.000000,810.000000,790.000000,800.000000,791.687134,810600
2021-01-22,800.000000,820.000000,790.000000,790.000000,781.791077,1126700
2021-01-25,790.000000,815.000000,780.000000,810.000000,801.583252,2921300
2021-01-26,810.000000,830.000000,795.000000,800.000000,791.687134,835000
2021-01-27,800.000000,805.000000,795.000000,795.000000,786.739136,665700
2021-01-28,795.000000,850.000000,775.000000,795.000000,786.739136,6381800
2021-01-29,795.000000,810.000000,780.000000,780.000000,771.894958,907300
2021-02-01,785.000000,790.000000,780.000000,780.000000,771.894958,452400
2021-02-02,780.000000,800.000000,780.000000,785.000000,776.843018,408600
2021-02-03,785.000000,795.000000,780.000000,780.000000,771.894958,301200
2021-02-04,785.000000,795.000000,780.000000,780.000000,771.894958,304700
2021-02-05,780.000000,800.000000,780.000000,780.000000,771.894958,399100
2021-02-08,785.000000,800.000000,780.000000,780.000000,771.894958,273400
2021-02-09,780.000000,795.000000,780.000000,780.000000,771.894958,448000
2021-02-10,780.000000,800.000000,780.000000,800.000000,791.687134,332000
2021-02-11,800.000000,805.000000,790.000000,800.000000,791.687134,155100
2021-02-15,800.000000,805.000000,790.000000,790.000000,781.791077,218000
2021-02-16,790.000000,795.000000,780.000000,790.000000,781.791077,345200
2021-02-17,795.000000,795.000000,780.000000,780.000000,771.894958,238600
2021-02-18,780.000000,830.000000,780.000000,810.000000,801.583252,4367200
2021-02-19,810.000000,825.000000,800.000000,800.000000,791.687134,289900
2021-02-22,800.000000,975.000000,800.000000,880.000000,870.855896,22370400
2021-02-23,880.000000,885.000000,820.000000,870.000000,860.959778,6372300
2021-02-24,870.000000,1025.000000,845.000000,1005.000000,994.557007,15086900
2021-02-25,1005.000000,1140.000000,995.000000,1010.000000,999.505005,19840400
2021-02-26,1010.000000,1045.000000,945.000000,1020.000000,1009.401123,6524700
2021-03-01,1020.000000,1120.000000,1020.000000,1065.000000,1053.933472,9208000
2021-03-02,1065.000000,1070.000000,995.000000,995.000000,984.660889,5077800
2021-03-03,995.000000,1000.000000,930.000000,940.000000,930.232422,6179500
2021-03-04,940.000000,940.000000,895.000000,905.000000,895.596069,2224500
2021-03-05,905.000000,950.000000,875.000000,950.000000,940.128479,2041600
2021-03-08,970.000000,975.000000,900.000000,945.000000,935.180481,2650800
2021-03-09,945.000000,945.000000,905.000000,920.000000,910.440247,1178900
2021-03-10,935.000000,1100.000000,900.000000,985.000000,974.764832,21225400
2021-03-12,990.000000,1020.000000,965.000000,985.000000,974.764832,4791400
2021-03-15,985.000000,995.000000,950.000000,980.000000,969.816772,2593500
2021-03-16,980.000000,1180.000000,960.000000,1015.000000,1004.453064,56781400
2021-03-17,1025.000000,1025.000000,965.000000,970.000000,959.920654,6861900
2021-03-18,975.000000,995.000000,950.000000,970.000000,959.920654,2931700
2021-03-19,980.000000,1000.000000,960.000000,985.000000,974.764832,6542700
2021-03-22,995.000000,995.000000,950.000000,955.000000,945.076538,3888800
2021-03-23,960.000000,965.000000,905.000000,905.000000,895.596069,5047200
2021-03-24,910.000000,910.000000,870.000000,905.000000,895.596069,3098600
2021-03-25,915.000000,945.000000,890.000000,890.000000,880.751953,4701700
2021-03-26,890.000000,910.000000,885.000000,890.000000,880.751953,5815500
2021-03-29,890.000000,905.000000,880.000000,890.000000,880.751953,2956700
2021-03-30,890.000000,895.000000,860.000000,860.000000,851.063721,2913500
2021-03-31,860.000000,925.000000,860.000000,900.000000,890.648071,8475100
2021-04-01,900.000000,905.000000,870.000000,885.000000,875.803894,3131900
2021-04-05,895.000000,905.000000,865.000000,870.000000,860.959778,3913400
2021-04-06,875.000000,920.000000,865.000000,895.000000,885.700012,2997800
2021-04-07,900.000000,960.000000,890.000000,945.000000,935.180481,9855100
2021-04-08,960.000000,1025.000000,950.000000,995.000000,984.660889,57347700
2021-04-09,1010.000000,1010.000000,965.000000,975.000000,964.868713,21698200
2021-04-12,1000.000000,1025.000000,960.000000,970.000000,959.920654,18787600
2021-04-13,970.000000,980.000000,945.000000,950.000000,940.128479,3909000
2021-04-14,950.000000,1000.000000,945.000000,980.000000,969.816772,9113400
2021-04-15,980.000000,990.000000,960.000000,970.000000,959.920654,4428500
2021-04-16,970.000000,985.000000,960.000000,965.000000,954.972656,4154500
2021-04-19,965.000000,970.000000,925.000000,925.000000,915.388245,6366200
2021-04-20,920.000000,940.000000,905.000000,910.000000,900.544128,3096500
2021-04-21,920.000000,945.000000,905.000000,920.000000,910.440247,3075900
2021-04-22,930.000000,960.000000,920.000000,950.000000,940.128479,6685800
2021-04-23,950.000000,985.000000,940.000000,960.000000,950.024597,19126100
2021-04-26,960.000000,970.000000,940.000000,945.000000,935.180481,11578400
2021-04-27,940.000000,950.000000,910.000000,920.000000,910.440247,4487700
2021-04-28,920.000000,930.000000,920.000000,925.000000,915.388245,1320700
